chess_board;robot_pos_in_world;right_cam_pixel
(0,1);(+0.007,-0.015,+0.071);(155, 128)
(1,3);(+0.035,-0.002,+0.069);(267, 170)
(2,0);(-0.010,+0.012,+0.073);(94, 243)
(2,7);(+0.095,+0.010,+0.066);(505, 190)
(4,0);(-0.010,+0.046,+0.073);(113, 368)
(4,7);(+0.090,+0.039,+0.066);(505, 308)
(5,3);(+0.036,+0.061,+0.068);(290, 411)
(5,7);(+0.092,+0.061,+0.069);(521, 379)




